Uniprot	02w33	02w01	02w26	02w17	02w41	02w09	10w25	10w33	10w09	10w41	10w17	10w03	02w18	10w11	02w02	10w04	02w28	10w18	10w34	02w42	10w42	10w28	02w34	02w10	02w20	10w05	10w13	02w27	10w19	02w11	10w35	10w26	10w43	02w43	02w03	02w35	02w29	10w06	10w36	02w44	02w21	10w22	02w12	10w44	10w27	02w04	02w36	10w15	02w37	10w30	02w13	02w31	10w45	10w37	02w05	10w14	10w23	02w45	02w23	10w07
P10649	103.8509674	256.1203308	131.2578735	290.4252625	88.62298584	322.7530823	76.39035034	250.6854858	217.4856873	237.9351044	284.6897583	99.34549713	285.8625793	193.9155579	329.4440308	201.6189728	83.96130371	212.7409668	94.73513794	154.710434	253.3286743	87.30970764	129.8821564	315.615509	213.2613068	207.7675171	138.4640961	61.36521149	279.1600647	194.5519562	203.861969	89.07350159	181.0591125	85.6203537	195.9434204	68.31372833	107.7113495	174.5170593	110.1585388	97.41530609	269.7132568	234.8582764	225.6969299	137.9685974	98.5903244	205.8375854	76.66491699	152.9725494	89.62355042	85.06498718	219.8365936	112.7980347	278.9343262	111.7508469	190.7713776	118.8122101	219.368927	139.0916443	265.9753723	275.6865234
P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2	423.1304321	320.8580627	542.7573242	283.3265686	372.8429565	432.7673645	159.9866791	574.6503906	314.1580811	499.162384	255.147644	222.8538208	516.3605957	173.902832	251.3834229	257.9188232	640.3411255	230.1578979	391.4303589	430.8551331	658.102417	285.9655762	378.3473816	434.5343323	726.3039551	286.1972656	441.375061	670.8839722	476.0322876	708.9835815	286.2991638	359.6959229	367.7350464	475.3717651	692.3887939	766.057312	435.75354	520.5999146	250.3168335	636.5278931	536.4277954	217.7607117	810.057373	429.1632996	218.4300232	391.7446289	451.6279907	305.487854	1037.558594	240.1871033	352.4627991	567.9066772	499.3326721	198.2047424	485.1898804	409.2204285	396.7657776	684.2357788	923.4196777	327.4553833
P11352	2316.394531	2350.815918	2811.764404	2141.023682	2124.641113	2001.705444	2386.733887	1565.029419	1740.782471	1952.028198	2059.037354	2814.53833	1948.884277	2083.088135	3167.978516	2474.908447	2889.425293	2156.23584	2332.949951	2268.443359	2122.806396	2532.131592	2295.383545	2204.449219	2257.171387	2959.078369	2497.036133	3130.540527	2209.360107	2210.978271	1880.284302	2472.397217	1992.228271	2517.921631	2925.525879	2506.784668	2565.662354	2656.490723	2270.262939	2036.48938	2024.366699	2550.662109	2327.497559	2227.512939	2742.494385	3134.925537	2469.936279	2164.502441	2279.401855	2776.345947	2180.59082	2575.300781	2086.863281	1956.081299	2877.04541	2446.443359	2114.366211	2113.989258	2150.829346	2712.475586
P11499	487.1539612	514.6469116	528.4151001	557.1467896	483.6266174	578.8865356	373.1070862	426.270813	450.641449	452.2839966	583.5490112	399.8536987	601.8775024	551.1311035	659.5216675	540.8137817	649.4380493	669.1925659	482.3381042	571.8363037	519.6860352	503.0924988	590.9150391	790.5515137	878.6100464	691.8260498	515.9362183	718.8031006	797.8823853	647.9324951	612.072998	563.3165283	601.3757324	677.5494995	682.3168335	745.6247559	590.2175293	543.1010132	525.4702759	544.121521	627.24823	613.4446411	653.5855103	545.2753906	448.8722839	612.1063232	589.0814819	583.7507935	730.5174561	549.3793335	668.6829834	578.4820557	596.4356689	535.1658936	755.4265137	638.5532837	682.8336182	634.6920776	632.4159546	584.8311157
P11589	1412.421997	1615.268799	1108.359497	1499.650757	2074.614014	1777.590088	976.1813354	343.841217	1494.385498	902.453064	990.5721436	2502.530029	1367.808228	1412.380859	1017.460571	1369.136719	1053.825684	1875.289429	782.4228516	1020.171143	628.9015503	773.3577881	1392.434448	1499.598267	1091.379517	1378.853516	1061.044556	1377.375977	1160.918213	1292.595947	388.3650818	792.4579468	680.8901978	802.5107422	1701.979736	915.1997681	1568.407837	1333.585693	792.401123	1358.731201	1573.624634	1127.270264	1495.889893	986.5803223	666.5640869	1111.942383	1197.752319	1059.177368	1943.518799	782.8692627	1701.680664	1362.120972	873.5977173	624.9553833	1797.605591	897.9353027	1158.482178	1746.68042	1007.232117	1503.361084
P11679	1033.630127	976.6204834	981.0160522	950.6090088	1008.405273	1097.778076	642.2873535	818.6401978	1262.352417	1055.060669	730.3952026	972.7160645	839.4523926	747.4143066	889.8348389	1048.804688	1122.594971	718.2286987	450.4836121	678.8675537	958.8967285	887.1925659	969.4842529	954.1695557	829.4122925	1177.478149	876.1429443	939.3108521	1216.659668	1056.477051	537.6293335	596.8179932	776.4863892	708.6729126	1148.447876	1014.787109	1242.432129	627.8597412	549.9771729	654.8867188	1119.891357	689.0176392	1366.86377	651.8242798	593.9230347	519.6953125	681.2862549	766.7000732	1012.673096	710.5897827	1158.258545	1196.858276	652.206665	576.9729614	1346.474121	943.1589355	730.6922607	1436.34436	1491.188843	966.1925049
P11714	335.638092	390.9758606	329.1216125	249.1561127	415.1317444	313.7394714	208.4008484	120.9701843	281.7529602	226.3152008	172.3750458	293.4647217	238.3329315	262.1234741	237.7887573	347.2454834	296.937561	255.362854	187.2627411	244.36586	235.6391144	240.0245361	373.0906677	346.3919983	252.9210663	329.5983887	262.2722778	366.21875	271.0648193	349.141571	111.3448334	245.3009644	189.1025391	275.5873413	339.1197205	271.1944275	367.0405273	274.5625	186.4279022	311.8790283	317.3358765	243.869873	288.8856812	187.5020599	159.4394836	229.3516541	217.0374908	260.910614	321.4466248	222.272583	380.9494324	322.2541199	289.0403748	176.2994537	467.6848755	286.5733643	216.166275	453.2130737	317.4933472	333.6236572
P11725	17087.75586	17759.20313	18634.72656	15249.41406	15153.14648	13388.09766	18523.18359	12945.94727	11777.88086	14615.08887	12458.33691	18393.55469	15316.46582	13470.85254	18948.37109	18076.32813	24001.09375	14432.36035	19633.62305	18053.83008	16923.71875	19345.76563	17732.12695	15970.32324	18445.59375	19459.81836	16627.74219	21318.83398	14212.35938	15688.45605	16448.70313	21148.09766	18190.54688	19121.85742	19573.30469	19996.12305	18860.7207	20228.18555	18802.91602	16432.50781	14634.74609	16595.45898	16971.25391	16243.08789	21460.98242	20202.79492	17980.39648	14202.18164	17471.71289	22515.66016	15167.61621	18885.67383	16492.46289	16454.83984	18336.23438	15199.53809	14400.5957	15031.45898	15461.93555	19561.0918
P11930	194.0704498	221.7516785	178.571167	193.4276123	177.7193604	224.6656799	156.0550232	183.4835968	257.6024475	160.6639099	261.6976929	159.6763	215.6648865	194.1772614	246.5995178	148.4409637	140.1561737	174.4510193	180.5550079	198.0688019	162.7720795	167.6261139	253.2587433	224.2962189	144.119278	171.2935638	131.3605957	138.8414612	149.526825	185.5958862	167.0950623	171.5275116	137.9369965	129.3090515	148.3728485	132.5886993	156.8988495	165.8760834	208.7104492	184.3354187	177.9399567	193.2212219	203.826004	168.8685913	177.8588715	185.4098511	173.4773407	168.3122559	166.1876831	125.5684509	218.4414978	157.155365	171.9807587	150.9794159	188.3835144	131.6599121	152.0744629	183.4684296	175.1816406	201.7077332
P12710	1243.543091	886.6140137	1182.159424	1184.815796	1323.116943	1478.638916	1249.564575	1258.866699	1210.347534	2213.911621	1317.859131	821.9732056	1110.926636	1270.576538	1073.664063	1206.763062	870.9747925	1250.402588	1288.636841	1280.223022	1613.544067	1164.326538	1242.039185	1547.180176	956.8268433	1059.373657	1356.743042	806.5950317	1358.843872	1047.996704	1286.293091	1063.613281	1474.724854	1125.478027	990.0761719	947.0708008	1113.757568	1185.15979	1359.860474	1210.486572	971.7479858	1180.052612	1178.216064	2032.905151	1198.137573	1043.707886	1096.826904	1417.109253	1076.581299	1147.859985	1041.187256	948.2442627	1155.738281	1330.216064	1038.381226	1427.689941	1225.429565	1306.842896	903.3832397	1414.069702
P12787	2387.624756	2291.021484	2477.665527	2215.811279	2491.667969	2480.749023	2649.11792	2735.269287	2464.035156	2589.25415	2750.933594	2270.463623	2701.233398	3188.435303	2730.692383	2415.050781	2650.113037	3029.862061	2856.005615	2502.240967	2939.049316	2684.868164	2725.35498	2779.017334	2686.22998	2303.390625	2925.300781	2720.679932	2541.159912	2294.683594	2853.248779	2358.49292	2851.970459	2405.355713	2374.604248	2458.163818	2662.246094	2746.604736	2610.709961	2768.954346	2650.784668	2721.818848	2706.371582	2989.715332	2629.953369	2656.06665	2780.512939	3142.411377	2381.497803	2497.299072	2167.80957	2179.893799	2153.296631	2475.015381	2198.474365	2332.648682	2457.325684	2459.093262	2013.996094	2048.395752
P12970	381.9424744	369.6724854	312.2923889	317.7609558	496.0306702	390.4892578	206.9694824	162.4154968	272.3024902	212.1362762	285.1086121	368.4313354	340.5384216	270.5502319	313.6735535	387.2427368	299.9972229	313.5019531	250.5979156	385.6508179	207.5546722	242.2571106	495.0503845	407.0419922	379.5386047	299.6773071	269.1435547	409.7200317	334.3587341	445.7752075	155.2661591	293.1483154	214.5037842	363.2988586	437.7212524	432.7501526	453.483429	284.9653015	169.8143768	438.4555664	481.3745117	239.9008179	338.4194946	245.5471039	182.8047028	315.2278748	338.9338074	316.1777344	532.3206177	255.8458557	456.3955078	361.5709839	264.354126	186.2739563	518.4335938	261.5090027	346.348053	564.6643066	342.4342957	341.5715027
P13707	315.0185852	300.0126038	299.6299438	265.3146362	263.4029846	344.68573	246.3468781	396.4794312	412.1558838	256.1055298	296.856781	247.1601563	313.3456726	319.6259155	203.0312805	262.190033	180.4757538	302.9165039	229.9008636	268.2424927	308.1004028	268.5122375	396.1677246	322.0877075	187.6390076	234.8542328	229.2092133	197.0393219	263.5241699	293.9118652	234.7266998	244.6133881	306.7858887	176.4091949	179.964325	245.3322906	256.2739258	210.7637024	332.4975281	279.6378174	274.8253174	316.2144165	282.7632141	258.7752075	249.0450134	207.0831757	238.9866333	232.2378082	287.2854919	202.721756	299.3865662	240.7388306	297.596344	215.9606171	262.8594971	194.1795807	267.0224915	284.9589539	255.5070801	296.1997986
P14094	65.29621124	63.71379089	70.0814209	52.5943222	64.74247742	70.82652283	26.40662003	29.08655548	77.07957458	39.47677612	37.93385696	54.44457245	68.08494568	60.79640961	62.02837372	73.44329834	84.3784256	59.73709869	34.46562576	71.71934509	49.7874527	48.17938232	105.912674	88.9271698	77.58880615	73.68986511	80.21809387	75.88665009	108.5157394	107.6144257	39.40473557	34.48603439	52.90224838	68.94015503	82.48858643	84.58415985	86.72573853	52.28617859	43.3572197	53.25506592	96.36991882	51.59098434	118.9735641	37.8091507	30.71411324	44.87481308	58.01898193	60.06107712	109.3577499	51.93600464	88.08691406	73.24716949	36.79277039	50.77334595	108.6763382	74.4121933	67.64176941	113.433136	90.63043213	48.7190361
P14115	1204.841187	1254.050415	1124.624634	970.1820679	1800.776123	1358.319824	736.9196777	602.7119141	903.8311768	680.6276855	1043.564819	1261.177979	1105.845459	852.2819824	1091.72168	1089.546997	854.696106	977.5581665	685.8850708	1081.46936	637.4181519	746.9295044	1625.142944	1289.50708	1282.885742	819.40448	881.0823975	1268.878174	1014.057617	1258.430542	513.9716797	826.6397095	711.3110352	1085.060547	1489.375366	1346.956299	1572.267334	826.2764893	608.7835693	1426.934204	1511.431519	698.1814575	1201.615967	856.1460571	572.4631348	987.2230225	1104.657227	1297.79248	1732.182373	804.9328613	1443.622314	1144.114014	781.7356567	599.8277588	1726.730225	755.168335	1176.026611	1941.184082	914.175293	912.4644165
P14131	600.7714844	593.0718384	547.1363525	533.7019653	729.7674561	593.2513428	366.8439941	244.7930908	403.2323608	415.210083	519.0018921	563.2714844	540.2877808	465.7628784	566.5001221	580.5795288	497.9125671	530.6855469	271.2903137	604.9728394	331.2756958	409.7531738	761.7811279	567.9469604	522.909729	419.0198669	363.3438416	542.0797119	469.9847412	624.9805298	205.9589844	405.9511414	328.1870117	528.2703857	562.5093994	516.5137329	538.4888306	427.616333	289.8825684	604.6170044	644.1502075	421.5860901	488.7910767	435.0049744	344.0711365	447.3696899	489.6532288	421.6165771	640.5402832	381.7509766	546.1490479	454.778656	388.8624878	296.7027283	703.3586426	359.1939087	493.2044678	690.5197144	509.981781	501.2696533
